isco08_4digit,occupation_name,exposure_category,exposure_order,mean_task_score,sd_task_score
4132,Data Entry Clerks,Gradient 4,4,0.7,0.03
4131,Typists and Word Processing Operators,Gradient 4,4,0.65,0.05
4311,Accounting and Bookkeeping Clerks,Gradient 4,4,0.64,0.07
4312,"Statistical, Finance and Insurance Clerks",Gradient 4,4,0.64,0.02
3311,Securities and Finance Dealers and Brokers,Gradient 4,4,0.63,0.04
4419,Clerical Support Workers Not Elsewhere Classified,Gradient 4,4,0.63,0.03
2413,Financial Analysts,Gradient 4,4,0.62,0.06
4313,Payroll Clerks,Gradient 4,4,0.61,0.08
5244,Contact Centre Salespersons,Gradient 4,4,0.61,0.1
2513,Web and Multimedia Developers,Gradient 4,4,0.6,0.08
3312,Credit and Loans Officers,Gradient 4,4,0.6,0.04
4110,General Office Clerks,Gradient 4,4,0.6,0.1
4416,Personnel Clerks,Gradient 4,4,0.6,0.09
2643,"Translators, Interpreters and Other Linguists",Gradient 3,3,0.59,0.11
4120,Secretaries (general),Gradient 3,3,0.58,0.1
4211,Bank Tellers and Related Clerks,Gradient 3,3,0.58,0.09
4222,Contact Centre Information Clerks,Gradient 3,3,0.58,0.06
4414,Scribes and Related Workers,Gradient 3,3,0.58,0.08
2412,Financial and Investment Advisers,Gradient 3,3,0.57,0.11
2514,Applications Programmers,Gradient 3,3,0.57,0.08
2521,Database Designers and Administrators,Gradient 3,3,0.57,0.08
2522,Systems Administrators,Gradient 3,3,0.57,0.05
3314,"Statistical, Mathematical and Related Associate Professionals",Gradient 3,3,0.57,0.1
3331,Clearing and Forwarding Agents,Gradient 3,3,0.57,0.09
4225,Inquiry Clerks,Gradient 3,3,0.57,0.09
4226,Receptionists (general),Gradient 3,3,0.57,0.17
2120,"Mathematicians, Actuaries and Statisticians",Gradient 3,3,0.56,0.09
4221,Travel Consultants and Clerks,Gradient 3,3,0.56,0.07
2431,Advertising and Marketing Professionals,Gradient 3,3,0.55,0.09
2519,Software and Applications Developers and Analysts Not Elsewhere Classified,Gradient 3,3,0.55,0.16
2622,Librarians and Related Information Professionals,Gradient 3,3,0.55,0.04
2631,Economists,Gradient 3,3,0.55,0.08
2641,Authors and Related Writers,Gradient 3,3,0.55,0.09
3342,Legal Secretaries,Gradient 3,3,0.55,0.13
4227,Survey and Market Research Interviewers,Gradient 3,3,0.55,0.16
2112,Meteorologists,Gradient 3,3,0.54,0.13
2642,Journalists,Gradient 3,3,0.54,0.1
3343,Administrative and Executive Secretaries,Gradient 3,3,0.54,0.14
4223,Telephone Switchboard Operators,Gradient 3,3,0.54,0.15
2512,Software Developers,Gradient 3,3,0.53,0.07
3321,Insurance Representatives,Gradient 3,3,0.53,0.12
3344,Medical Secretaries,Gradient 3,3,0.53,0.11
3514,Web Technicians,Gradient 3,3,0.53,0.12
2523,Computer Network Professionals,Gradient 3,3,0.52,0.06
3252,Medical Records and Health Information Technicians,Gradient 3,3,0.52,0.1
2411,Accountants,Gradient 3,3,0.51,0.08
2434,Information and Communications Technology Sales Professionals,Gradient 3,3,0.51,0.09
4224,Hotel Receptionists,Gradient 3,3,0.51,0.07
4413,"Coding, Proofreading and Related Clerks",Gradient 3,3,0.51,0.2
